label,text
1,DET ADJ NOUN ADJ NOUN VERB VERB PART VERB DET NOUN VERB ADV ADJ NOUN VERB VERB VERB ADP DET ADJ NOUN PUNCT ADV CONJ NOUN NOUN PART VERB PART VERB DET NOUN ADP DET NUM ADJ NOUN CONJ ADV ADJ VERB NOUN PART VERB PART VERB DET NUM NOUN ADP VERB NOUN ADP ADP DET NOUN PUNCT
1,ADP VERB DET NOUN PUNCT NOUN VERB ADP DET ADJ NOUN NOUN VERB PART VERB DET NOUN VERB NUM PUNCT DET NOUN ADP NOUN NOUN VERB ADP DET NOUN PUNCT NUM PUNCT NOUN DET NOUN ADP NOUN VERB ADJ NOUN CONJ NUM PUNCT VERB DET NOUN PART VERB ADJ ADJ NOUN VERB ADJ PUNCT
1,NOUN NOUN VERB VERB ADJ NOUN PUNCT DET NOUN VERB PART PUNCT CONJ DET ADJ NOUN ADP NOUN PART VERB ADP DET NOUN PUNCT NOUN VERB ADV VERB CONJ VERB DET NOUN DET NUM NOUN CONJ NUM NOUN PUNCT
0,DET NOUN VERB VERB NOUN NOUN VERB ADJ CONJ NOUN NOUN VERB DET ADJ ADP DET NOUN PUNCT
2,ADP DET NOUN PART VERB ADJ PART VERB DET NOUN PUNCT NOUN VERB VERB PART VERB VERB ADV ADJ NOUN VERB VERB CONJ NOUN NOUN ADP NOUN VERB VERB ADP DET NOUN PUNCT
1,NOUN VERB VERB DET NOUN ADP ADV NOUN VERB VERB DET ADJ NOUN VERB ADP ADP DET NOUN PUNCT CONJ NOUN VERB NOUN VERB ADP PUNCT
1,DET NOUN NOUN VERB VERB ADP NOUN PART ADV VERB DET NOUN VERB DET ADJ NOUN NOUN VERB ADP DET NOUN PUNCT ADV DET NOUN ADJ VERB VERB PART VERB DET NOUN PUNCT ADP DET NUM NOUN PUNCT ADP VERB DET NOUN ADP DET NOUN CONJ VERB DET NOUN ADP ADJ NOUN PUNCT VERB NOUN ADJ ADP NUM NOUN VERB ADV VERB ADJ ADV PART ADV VERB DET NOUN ADP DET NOUN PUNCT ADV ADV NOUN VERB ADJ ADP NUM ADJ NOUN PART VERB ADP ADJ NOUN PUNCT
3,NOUN VERB VERB ADJ ADJ NOUN ADP NOUN PART VERB DET NOUN PUNCT NOUN VERB VERB DET NOUN ADP NOUN PART VERB ADP ADP DET NOUN PUNCT NOUN VERB ADV VERB PART VERB DET NOUN ADP NOUN VERB ADP DET NOUN PUNCT NOUN VERB ADV VERB PART VERB ADV ADV PART VERB DET NOUN CONJ NOUN NOUN ADP NOUN PART VERB PUNCT NOUN ADP NOUN PUNCT VERB VERB DET NOUN PUNCT PUNCT
3,DET ADJ NOUN NOUN VERB VERB VERB DET NOUN PUNCT NOUN ADV VERB PART VERB DET NOUN ADP DET NOUN PART VERB ADV DET ADJ NOUN VERB NOUN PUNCT NOUN VERB PART VERB ADV ADJ NOUN VERB VERB ADP DET NOUN PUNCT DET NOUN ADJ VERB VERB VERB PART VERB ADV ADJ DET NOUN NOUN VERB ADP VERB SPACE DET ADJ ADJ NOUN PUNCT
2,NOUN PART VERB DET NOUN PUNCT NOUN VERB VERB PART VERB NOUN ADJ ADP ADJ NOUN ADP NOUN DET NUM NOUN VERB CONJ ADV ADJ NOUN NOUN VERB VERB PUNCT ADV ADV ADP DET NOUN ADP NOUN VERB VERB ADP DET NOUN CONJ DET NOUN NOUN VERB VERB PART VERB ADV VERB NOUN PUNCT ADV PUNCT NOUN ADP NOUN CONJ NOUN VERB VERB VERB PUNCT
0,DET ADJ NOUN ADJ NOUN VERB VERB ADP NOUN PART VERB DET NOUN
3,DET ADJ NOUN NOUN VERB VERB PART VERB DET NOUN VERB VERB DET NOUN ADP DET NOUN PUNCT ADV NOUN VERB VERB PART VERB DET NOUN ADP NOUN PUNCT ADP DET NOUN NOUN VERB ADJ PART VERB DET ADJ NOUN CONJ NOUN NOUN PUNCT
2,ADV VERB NUM NOUN ADP ADJ NOUN NOUN PART VERB DET NOUN PUNCT NOUN ADP ADJ DET NOUN VERB ADV VERB VERB NOUN DET NUM NOUN VERB PUNCT DET NOUN VERB ADV VERB ADV ADJ NOUN PART VERB ADP DET NOUN PUNCT DET ADJ NOUN VERB VERB VERB DET
2,ADP NOUN DET VERB DET NOUN NOUN VERB
0,INTJ NOUN NOUN VERB ADP DET NOUN VERB ADP NOUN VERB NUM NOUN PUNCT VERB NOUN ADP ADJ NOUN ADJ VERB DET ADJ PUNCT VERB NOUN ADP DET NOUN CONJ ADV VERB NOUN PART ADP ADJ NOUN CONJ VERB NOUN VERB ADP NUM NOUN ADP NOUN VERB PUNCT ADV ADJ ADV VERB PART VERB DET NOUN ADP DET NOUN PUNCT
0,NOUN VERB ADV VERB NOUN VERB VERB PART PUNCT
3,ADP NOUN PART VERB DET NOUN PUNCT NOUN VERB VERB PART VERB DET NOUN ADP DET NOUN PUNCT ADP DET NOUN ADP NOUN NOUN VERB ADP DET NOUN NOUN PUNCT VERB DET NOUN PUNCT NOUN VERB ADV VERB PART VERB ADV ADJ NOUN CONJ NOUN NOUN NOUN PART VERB ADP NOUN PART ADV VERB DET NOUN PUNCT
0,DET ADJ NOUN NOUN VERB VERB VERB PART VERB PART ADP DET NOUN PART VERB ADJ NOUN VERB VERB DET ADJ NOUN ADP ADJ NOUN PUNCT ADP DET NOUN VERB VERB PART VERB PART ADP ADJ ADJ CONJ ADJ NOUN ADP NOUN VERB VERB CONJ VERB DET NUM VERB ADJ ADP NOUN PUNCT NOUN VERB VERB DET NOUN PART VERB ADP DET NOUN VERB ADJ PUNCT ADV NOUN VERB VERB DET NOUN PART VERB ADP ADJ NOUN VERB ADJ CONJ PART VERB ADP ADJ NOUN VERB ADJ PUNCT
0,ADP NOUN PART VERB DET NOUN NOUN VERB VERB DET NOUN ADP NOUN PART VERB DET NOUN PUNCT ADV PUNCT NOUN VERB VERB NOUN CONJ NOUN PART VERB DET NOUN PUNCT ADJ PUNCT NOUN VERB VERB DET NUM NOUN CONJ VERB NOUN ADP DET NOUN PART VERB DET NOUN PUNCT
3,ADP NOUN ADP DET NOUN PART VERB ADJ NOUN PUNCT NOUN VERB VERB PART VERB NOUN NUM NOUN NOUN VERB PUNCT NOUN VERB VERB DET ADP ADJ NOUN PUNCT ADV NOUN VERB VERB SPACE ADV NOUN VERB PART VERB DET NUM NOUN ADP DET NUM NOUN NOUN NOUN ADV PUNCT NOUN VERB VERB ADJ NOUN ADP NOUN CONJ NOUN NOUN ADP ADP ADV NOUN VERB PART VERB DET NOUN PUNCT NOUN VERB ADP ADV ADJ ADP NOUN NOUN ADV VERB PUNCT CONJ ADV VERB VERB ADJ PART VERB DET NOUN PUNCT
0,NOUN VERB VERB PART VERB NUM NOUN CONJ ADJ NOUN PUNCT NOUN VERB ADV VERB PART VERB ADP DET ADP NOUN NOUN PART VERB DET NOUN ADP DET NOUN VERB VERB ADP NOUN PUNCT CONJ ADJ NOUN VERB VERB VERB PART VERB VERB ADP DET ADP DET NOUN PUNCT
2,NOUN PART VERB DET NOUN PUNCT NOUN VERB VERB PART VERB DET NOUN ADP DET NUM ADJ NOUN PUNCT ADV ADJ NOUN PART VERB ADP DET NOUN PUNCT NOUN DET NOUN VERB VERB ADP ADP PUNCT CONJ ADV ADJ NOUN PART VERB NOUN ADP ADP DET NUM NOUN PUNCT
0,DET NOUN NOUN VERB PART VERB ADV ADJ ADP DET NOUN VERB VERB PUNCT NOUN ADV VERB PART VERB PART ADP DET NOUN VERB DET ADJ ADV NOUN VERB PUNCT
3,ADP DET NOUN NOUN PUNCT NOUN VERB VERB PART VERB ADV ADV ADJ NOUN VERB VERB ADP DET NOUN PUNCT NOUN VERB ADV VERB PART VERB ADV ADJ ADP NOUN DET NOUN VERB PUNCT ADV PUNCT NOUN VERB VERB PART VERB DET NOUN ADP DET NOUN PUNCT PART VERB ADP NOUN VERB VERB NOUN ADP DET NOUN ADV PUNCT
1,DET ADJ NOUN ADJ NOUN VERB VERB VERB DET NOUN ADP NOUN NOUN VERB PUNCT
2,ADP VERB DET NOUN NOUN NOUN VERB VERB PART VERB NOUN NOUN ADP NOUN NOUN VERB VERB ADP NOUN VERB ADP VERB DET NOUN PUNCT NOUN VERB DET NOUN ADP NOUN ADP DET NOUN VERB VERB VERB NUM ADJ NOUN CONJ NOUN VERB ADV VERB ADJ NOUN PUNCT CONJ NOUN ADV VERB VERB VERB NOUN NOUN NOUN VERB VERB ADJ ADP NOUN VERB ADV VERB NOUN NOUN PART VERB CONJ VERB PUNCT
2,NOUN VERB PART VERB NOUN NOUN NOUN VERB CONJ ADV NOUN VERB PUNCT ADV DET NOUN ADP NOUN NOUN VERB PUNCT ADV DET NOUN ADP DET NOUN PUNCT
0,PUNCT PUNCT PUNCT VERB NUM ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT ADV NUM PUNCT PUNCT VERB DET NOUN ADP NUM ADJ NOUN PUNCT SYM NUM PUNCT PUNCT NOUN NOUN ADP DET ADP NUM ADJ CONJ ADJ NOUN PUNCT SYM NUM PUNCT PUNCT ADP NUM NOUN VERB DET NOUN ADP DET NOUN CONJ VERB DET X VERB NOUN PUNCT SYM NUM PUNCT PUNCT VERB NOUN PART VERB CONJ VERB ADP NUM NOUN PUNCT SYM NUM PUNCT PUNCT ADP DET NOUN ADP DET NOUN PUNCT SYM NUM PUNCT PUNCT VERB ADJ NOUN PUNCT
3,ADP NOUN PART VERB DET NOUN PUNCT NOUN VERB VERB PART VERB NOUN DET NOUN VERB PUNCT ADP DET NOUN PART NOUN PUNCT NOUN VERB ADV VERB NOUN
2,ADP NOUN NUM PUNCT NOUN VERB VERB PART VERB ADV ADJ ADP DET NOUN PART VERB PUNCT ADV ADP NOUN ADP NOUN VERB PART VERB DET NOUN ADP DET ADJ NOUN NOUN ADV NOUN VERB VERB DET NOUN ADV ADV PUNCT ADV ADV VERB DET NOUN NOUN PUNCT
2,NOUN ADJ NOUN ADJ NOUN VERB VERB PART VERB DET NOUN VERB PART VERB ADV ADJ VERB PART VERB DET NOUN ADP NUM NOUN PUNCT DET NOUN ADJ NOUN VERB VERB PART VERB ADP NOUN ADP NOUN PART VERB DET NOUN VERB PART ADV VERB DET ADJ NOUN PUNCT NOUN VERB ADV VERB NOUN ADP VERB ADV ADJ NOUN PART VERB ADP DET NOUN CONJ ADJ PUNCT NOUN PUNCT
0,NOUN VERB VERB DET NOUN PART VERB DET NOUN ADP DET NOUN VERB PART PUNCT
3,ADP DET NOUN PUNCT NOUN VERB ADV VERB PART VERB NOUN DET PUNCT PUNCT NOUN PUNCT VERB PUNCT DET NOUN ADP NOUN ADJ VERB VERB CONJ DET NOUN ADP DET PUNCT PUNCT NOUN PUNCT
3,PART VERB DET NOUN NOUN VERB VERB PART VERB DET NOUN ADJ NOUN VERB VERB VERB PUNCT NOUN VERB ADV VERB PART VERB ADV ADJ NOUN PART VERB PUNCT NOUN VERB ADV VERB PART VERB NOUN NOUN ADP NOUN PART VERB PUNCT
1,ADP NOUN PART VERB DET NOUN PUNCT NOUN VERB VERB PART VERB ADV ADJ NOUN PART VERB PUNCT NOUN VERB PART VERB ADV ADJ ADJ NOUN CONJ NOUN VERB VERB PART VERB ADV ADJ VERB PART VERB NOUN PUNCT
2,INTJ NOUN VERB VERB PART VERB NOUN DET NOUN NOUN VERB PUNCT NOUN VERB VERB PART VERB NOUN NOUN ADP NOUN NOUN VERB VERB PUNCT NOUN VERB VERB PART VERB DET NOUN ADP NOUN NOUN VERB VERB PUNCT CONJ NOUN VERB VERB PART VERB ADP DET NOUN ADP NOUN ADP DET NOUN VERB VERB PUNCT
